Gene Name,Centrality,Rank
DND1P1,0.5385195560619921,448
SNX25P1,0.5210842840075519,449
HSD3B2,0.5619641862569498,450
FAM228A,0.5326672166014487,451
HAR1A,0.5425292578632527,452
RP5-1139B12.3,0.5326295756739196,453
BAK1P1,0.5207721934117553,454
CA3-AS1,0.541603759847166,455
LINC01291,0.5457360156167054,456
RP11-84A14.4,0.5229150941924755,457
CTD-3222D19.9,0.542044217338984,458
RP11-342K6.3,0.5426257725783521,459
MIR762HG,0.5035975947560775,460
RPL23AP2,0.5100459249475034,461
CD5,0.516126680438073,462
RP6-65G23.3,0.5256805207250282,463
CTC-492K19.4,0.5420128601470543,464
MIPEPP3,0.5277311667459139,465
SLC22A31,0.5225629200272961,466
RP11-343B5.1,0.5387445640103897,467
RP13-977J11.2,0.5232356618811366,468
RP4-756H11.3,0.5368408490895161,469
PENK,0.5322246646721973,470
LIPF,0.5484707013816781,471
RP5-890E16.2,0.5324790555543379,472
CTD-2224J9.8,0.5297509946636402,473
AQP4,0.5484580623611965,474
RP11-218C14.8,0.5144000203241638,475
RP11-171I2.3,0.5358976595392797,476
SPESP1,0.5342027884992386,477
CTD-3113P16.11,0.5326408057103128,478
CTC-559E9.6,0.5177780656392543,479
RP11-81A22.5,0.510208016546623,480
RP11-875O11.1,0.5395533754252405,481
BOLA2B,0.5416542059809656,482
RP11-452L6.6,0.5344742560794621,483
RP11-474C8.8,0.538503436374425,484
NRIR,0.5367903825270459,485
AC004951.6,0.5353529252981198,486
AC073343.13,0.518928831381669,487
SPATC1,0.520538376159021,488
CH17-189H20.1,0.5544977037801223,489
PTGES3P3,0.5441405610329088,490
RP11-1365D11.1,0.5299357869522672,491
RP11-33N14.3,0.5266352874875608,492
CTD-2526A2.2,0.5216973964119056,493
CTD-3075F15.1,0.5541018526241409,494
RP5-1153D9.5,0.5236539457901479,495
RGPD2,0.528054536808753,496
THNSL2,0.5522540154368966,497
C12orf54,0.5283761401557405,498
RPS26,0.5286445113476345,499
CTD-2017C7.2,0.5198985809561888,500
TNS4,0.5712057587761485,501
PDCD6IPP1,0.52646934340307,502
MCPH1-AS1,0.5505488726066141,503
ZSCAN12P1,0.541413512597492,504
SNORD89,0.528943231383366,505
CHRNA5,0.5394392764518136,506
FLJ12825,0.506899394507481,507
EI24P2,0.5245526441664657,508
RASA4CP,0.5346877712941732,509
CPA1,0.5669456617932453,510
PDCD6IPP2,0.5310891318236252,511
RP11-723O4.6,0.5299645449078205,512
RCN1P2,0.5349619158662622,513
HNRNPA1P49,0.5280989122043098,514
AC093162.5,0.5388736613935464,515
LY6G6C,0.5481086208780447,516
CTD-2561J22.5,0.5369080894513331,517
GSDMA,0.5591300758738188,518
PRR15L,0.5452668119863318,519
TFAP2C,0.5472579556025047,520
CALML5,0.5718272419387707,521
TFR2,0.5367001526261199,522
CTRC,0.5596676846582235,523
PDZK1,0.532668094199828,524
SMN2,0.552838744553537,525
IGLV1-51,0.5499318389332788,526
SYT8,0.5732839847275344,527
SIRPB1,0.5245122732389936,528
GJB3,0.5324960007742394,529
SDR16C5,0.5815227063487048,530
CPB1,0.5716961110395067,531
DCD,0.5529451536637539,532
AC016831.7,0.5445521861389793,533
RP11-678G14.2,0.5297001650236582,534
RP11-252A24.3,0.534203780214907,535
ALB,0.5488539887882183,536
CEL,0.5597792163528993,537
NPIPA5,0.537195992176003,538
RN7SL2,0.5220832272042334,539
RP11-101E7.2,0.5094730953369745,540
SAP30L-AS1,0.5455110300626149,541
APOC2,0.5216646688317514,542
STAG3L1,0.5212277672785914,543
PROC,0.5239525713389677,544
TG,0.5391766172098817,545
LA16c-380F5.3,0.522494492288801,546
